    PID    PPID COMMAND
    157       2 [ksoftirqd/29]
    159       2 [kworker/29:0H-events_highpri]
    160       2 [cpuhp/30]
    161       2 [migration/30]
    162       2 [ksoftirqd/30]
    164       2 [kworker/30:0H-events_highpri]
    165       2 [cpuhp/31]
    166       2 [migration/31]
    167       2 [ksoftirqd/31]
    169       2 [kworker/31:0H-events_highpri]
    170       2 [cpuhp/32]
    171       2 [migration/32]
    172       2 [ksoftirqd/32]
    174       2 [kworker/32:0H-events_highpri]
    175       2 [cpuhp/33]
    176       2 [migration/33]
    177       2 [ksoftirqd/33]
    179       2 [kworker/33:0H-events_highpri]
    180       2 [cpuhp/34]
    181       2 [migration/34]
    182       2 [ksoftirqd/34]
    184       2 [kworker/34:0H-events_highpri]
    185       2 [cpuhp/35]
    186       2 [migration/35]
    187       2 [ksoftirqd/35]
    189       2 [kworker/35:0H-events_highpri]
    190       2 [cpuhp/36]
    191       2 [migration/36]
    192       2 [ksoftirqd/36]
    194       2 [kworker/36:0H-events_highpri]
    195       2 [cpuhp/37]
    196       2 [migration/37]
    197       2 [ksoftirqd/37]
    199       2 [kworker/37:0H-events_highpri]
    200       2 [cpuhp/38]
    201       2 [migration/38]
    202       2 [ksoftirqd/38]
    204       2 [kworker/38:0H-events_highpri]
    205       2 [cpuhp/39]
    206       2 [migration/39]
    207       2 [ksoftirqd/39]
    209       2 [kworker/39:0H-events_highpri]
    210       2 [cpuhp/40]
    211       2 [migration/40]
    212       2 [ksoftirqd/40]
    214       2 [kworker/40:0H-events_highpri]
    215       2 [cpuhp/41]
    216       2 [migration/41]
    217       2 [ksoftirqd/41]
    219       2 [kworker/41:0H-events_highpri]
    220       2 [cpuhp/42]
    221       2 [migration/42]
    222       2 [ksoftirqd/42]
    224       2 [kworker/42:0H-events_highpri]
    225       2 [cpuhp/43]
    226       2 [migration/43]
    227       2 [ksoftirqd/43]
    229       2 [kworker/43:0H-kblockd]
    230       2 [cpuhp/44]
    231       2 [migration/44]
    232       2 [ksoftirqd/44]
    234       2 [kworker/44:0H-events_highpri]
    235       2 [cpuhp/45]
    236       2 [migration/45]
    237       2 [ksoftirqd/45]
    239       2 [kworker/45:0H-kblockd]
    240       2 [cpuhp/46]
    241       2 [migration/46]
    242       2 [ksoftirqd/46]
    244       2 [kworker/46:0H-events_highpri]
    245       2 [cpuhp/47]
    246       2 [migration/47]
    247       2 [ksoftirqd/47]
    249       2 [kworker/47:0H-events_highpri]
    250       2 [cpuhp/48]
    251       2 [migration/48]
    252       2 [ksoftirqd/48]
    254       2 [kworker/48:0H-events_highpri]
    255       2 [cpuhp/49]
    256       2 [migration/49]
    257       2 [ksoftirqd/49]
    259       2 [kworker/49:0H-events_highpri]
    260       2 [cpuhp/50]
    261       2 [migration/50]
    262       2 [ksoftirqd/50]
    264       2 [kworker/50:0H-events_highpri]
    265       2 [cpuhp/51]
    266       2 [migration/51]
    267       2 [ksoftirqd/51]
    269       2 [kworker/51:0H-events_highpri]
    270       2 [cpuhp/52]
    271       2 [migration/52]
    272       2 [ksoftirqd/52]
    274       2 [kworker/52:0H-events_highpri]
    275       2 [cpuhp/53]
    276       2 [migration/53]
    277       2 [ksoftirqd/53]
    279       2 [kworker/53:0H-events_highpri]
    280       2 [cpuhp/54]
    281       2 [migration/54]
    282       2 [ksoftirqd/54]
    284       2 [kworker/54:0H-events_highpri]
    285       2 [cpuhp/55]
    286       2 [migration/55]
    287       2 [ksoftirqd/55]
    289       2 [kworker/55:0H-events_highpri]
    290       2 [cpuhp/56]
    291       2 [migration/56]
    292       2 [ksoftirqd/56]
    294       2 [kworker/56:0H-events_highpri]
    295       2 [cpuhp/57]
    296       2 [migration/57]
    297       2 [ksoftirqd/57]
    299       2 [kworker/57:0H-events_highpri]
    300       2 [cpuhp/58]
    301       2 [migration/58]
    302       2 [ksoftirqd/58]
    304       2 [kworker/58:0H-events_highpri]
    305       2 [cpuhp/59]
    306       2 [migration/59]
    307       2 [ksoftirqd/59]
    309       2 [kworker/59:0H-events_highpri]
    310       2 [cpuhp/60]
    311       2 [migration/60]
    312       2 [ksoftirqd/60]
    314       2 [kworker/60:0H-events_highpri]
    315       2 [cpuhp/61]
    316       2 [migration/61]
    317       2 [ksoftirqd/61]
    319       2 [kworker/61:0H-events_highpri]
    320       2 [cpuhp/62]
    321       2 [migration/62]
    322       2 [ksoftirqd/62]
    324       2 [kworker/62:0H-events_highpri]
    325       2 [cpuhp/63]
    326       2 [migration/63]
    327       2 [ksoftirqd/63]
    329       2 [kworker/63:0H-events_highpri]
    330       2 [cpuhp/64]
    331       2 [migration/64]
    332       2 [ksoftirqd/64]
    334       2 [kworker/64:0H-events_highpri]
    335       2 [cpuhp/65]
    336       2 [migration/65]
    337       2 [ksoftirqd/65]
    339       2 [kworker/65:0H-events_highpri]
    340       2 [cpuhp/66]
    341       2 [migration/66]
    342       2 [ksoftirqd/66]
    344       2 [kworker/66:0H-events_highpri]
    345       2 [cpuhp/67]
    346       2 [migration/67]
    347       2 [ksoftirqd/67]
    349       2 [kworker/67:0H-events_highpri]
    350       2 [cpuhp/68]
    351       2 [migration/68]
    352       2 [ksoftirqd/68]
    354       2 [kworker/68:0H-events_highpri]
    355       2 [cpuhp/69]
    356       2 [migration/69]
    357       2 [ksoftirqd/69]
    359       2 [kworker/69:0H-events_highpri]
    360       2 [cpuhp/70]
    361       2 [migration/70]
    362       2 [ksoftirqd/70]
    364       2 [kworker/70:0H-events_highpri]
    365       2 [cpuhp/71]
    366       2 [migration/71]
    367       2 [ksoftirqd/71]
    369       2 [kworker/71:0H-events_highpri]
    370       2 [cpuhp/72]
    371       2 [migration/72]
    372       2 [ksoftirqd/72]
    374       2 [kworker/72:0H-events_highpri]
    375       2 [cpuhp/73]
    376       2 [migration/73]
    377       2 [ksoftirqd/73]
    379       2 [kworker/73:0H-events_highpri]
    380       2 [cpuhp/74]
    381       2 [migration/74]
    382       2 [ksoftirqd/74]
    384       2 [kworker/74:0H-events_highpri]
    385       2 [cpuhp/75]
    386       2 [migration/75]
    387       2 [ksoftirqd/75]
    389       2 [kworker/75:0H-events_highpri]
    390       2 [cpuhp/76]
    391       2 [migration/76]
    392       2 [ksoftirqd/76]
    394       2 [kworker/76:0H-events_highpri]
    395       2 [cpuhp/77]
    396       2 [migration/77]
    397       2 [ksoftirqd/77]
    399       2 [kworker/77:0H-events_highpri]
    400       2 [cpuhp/78]
    401       2 [migration/78]
    402       2 [ksoftirqd/78]
    404       2 [kworker/78:0H-events_highpri]
    405       2 [cpuhp/79]
    406       2 [migration/79]
    407       2 [ksoftirqd/79]
    409       2 [kworker/79:0H-events_highpri]
    410       2 [cpuhp/80]
    411       2 [migration/80]
    412       2 [ksoftirqd/80]
    414       2 [kworker/80:0H-events_highpri]
    415       2 [cpuhp/81]
    416       2 [migration/81]
    417       2 [ksoftirqd/81]
    419       2 [kworker/81:0H-events_highpri]
    420       2 [cpuhp/82]
    421       2 [migration/82]
    422       2 [ksoftirqd/82]
    424       2 [kworker/82:0H-events_highpri]
    425       2 [cpuhp/83]
    426       2 [migration/83]
    427       2 [ksoftirqd/83]
    429       2 [kworker/83:0H-events_highpri]
    430       2 [cpuhp/84]
    431       2 [migration/84]
    432       2 [ksoftirqd/84]
    434       2 [kworker/84:0H-events_highpri]
    435       2 [cpuhp/85]
    436       2 [migration/85]
    437       2 [ksoftirqd/85]
    439       2 [kworker/85:0H-events_highpri]
    440       2 [cpuhp/86]
    441       2 [migration/86]
    442       2 [ksoftirqd/86]
    444       2 [kworker/86:0H-events_highpri]
    445       2 [cpuhp/87]
    446       2 [migration/87]
    447       2 [ksoftirqd/87]
    449       2 [kworker/87:0H-events_highpri]
    450       2 [cpuhp/88]
    451       2 [migration/88]
    452       2 [ksoftirqd/88]
    454       2 [kworker/88:0H-events_highpri]
    455       2 [cpuhp/89]
    456       2 [migration/89]
    457       2 [ksoftirqd/89]
    459       2 [kworker/89:0H-events_highpri]
    460       2 [cpuhp/90]
    461       2 [migration/90]
    462       2 [ksoftirqd/90]
    464       2 [kworker/90:0H-events_highpri]
    466       2 [cpuhp/91]
    467       2 [migration/91]
    468       2 [ksoftirqd/91]
    470       2 [kworker/91:0H-events_highpri]
    471       2 [cpuhp/92]
    472       2 [migration/92]
    473       2 [ksoftirqd/92]
    475       2 [kworker/92:0H-events_highpri]
    476       2 [cpuhp/93]
    477       2 [migration/93]
    478       2 [ksoftirqd/93]
    480       2 [kworker/93:0H-events_highpri]
    481       2 [cpuhp/94]
    482       2 [migration/94]
    483       2 [ksoftirqd/94]
    485       2 [kworker/94:0H-events_highpri]
    486       2 [cpuhp/95]
    487       2 [migration/95]
    488       2 [ksoftirqd/95]
    490       2 [kworker/95:0H-events_highpri]
    491       2 [cpuhp/96]
    492       2 [migration/96]
    493       2 [ksoftirqd/96]
    495       2 [kworker/96:0H-events_highpri]
    496       2 [cpuhp/97]
    497       2 [migration/97]
    498       2 [ksoftirqd/97]
    500       2 [kworker/97:0H-events_highpri]
    501       2 [cpuhp/98]
    502       2 [migration/98]
    503       2 [ksoftirqd/98]
    505       2 [kworker/98:0H-events_highpri]
    506       2 [cpuhp/99]
    507       2 [migration/99]
    508       2 [ksoftirqd/99]
    510       2 [kworker/99:0H-events_highpri]
    511       2 [cpuhp/100]
    512       2 [migration/100]
    513       2 [ksoftirqd/100]
    515       2 [kworker/100:0H-events_highpri]
    516       2 [cpuhp/101]
    517       2 [migration/101]
    518       2 [ksoftirqd/101]
    520       2 [kworker/101:0H-events_highpri]
    521       2 [cpuhp/102]
    522       2 [migration/102]
    523       2 [ksoftirqd/102]
    525       2 [kworker/102:0H-events_highpri]
    526       2 [cpuhp/103]
    527       2 [migration/103]
    528       2 [ksoftirqd/103]
    530       2 [kworker/103:0H-events_highpri]
    531       2 [cpuhp/104]
    532       2 [migration/104]
    533       2 [ksoftirqd/104]
    535       2 [kworker/104:0H-events_highpri]
    536       2 [cpuhp/105]
    537       2 [migration/105]
    538       2 [ksoftirqd/105]
    540       2 [kworker/105:0H-events_highpri]
    541       2 [cpuhp/106]
    542       2 [migration/106]
    543       2 [ksoftirqd/106]
    545       2 [kworker/106:0H-events_highpri]
    546       2 [cpuhp/107]
    547       2 [migration/107]
    548       2 [ksoftirqd/107]
    550       2 [kworker/107:0H-events_highpri]
    551       2 [cpuhp/108]
    552       2 [migration/108]
    553       2 [ksoftirqd/108]
    555       2 [kworker/108:0H-events_highpri]
    556       2 [cpuhp/109]
    557       2 [migration/109]
    558       2 [ksoftirqd/109]
    560       2 [kworker/109:0H-events_highpri]
    561       2 [cpuhp/110]
    562       2 [migration/110]
    563       2 [ksoftirqd/110]
    565       2 [kworker/110:0H-events_highpri]
    566       2 [cpuhp/111]
    567       2 [migration/111]
    568       2 [ksoftirqd/111]
    570       2 [kworker/111:0H-events_highpri]
    571       2 [cpuhp/112]
    572       2 [migration/112]
    573       2 [ksoftirqd/112]
    575       2 [kworker/112:0H-events_highpri]
    576       2 [cpuhp/113]
    577       2 [migration/113]
    578       2 [ksoftirqd/113]
    580       2 [kworker/113:0H-events_highpri]
    581       2 [cpuhp/114]
    582       2 [migration/114]
    583       2 [ksoftirqd/114]
    585       2 [kworker/114:0H-events_highpri]
    586       2 [cpuhp/115]
    587       2 [migration/115]
    588       2 [ksoftirqd/115]
    590       2 [kworker/115:0H-events_highpri]
    591       2 [cpuhp/116]
    592       2 [migration/116]
    593       2 [ksoftirqd/116]
    595       2 [kworker/116:0H-events_highpri]
    596       2 [cpuhp/117]
    597       2 [migration/117]
    598       2 [ksoftirqd/117]
    600       2 [kworker/117:0H-events_highpri]
    601       2 [cpuhp/118]
    602       2 [migration/118]
    603       2 [ksoftirqd/118]
    605       2 [kworker/118:0H-events_highpri]
    606       2 [cpuhp/119]
    607       2 [migration/119]
    608       2 [ksoftirqd/119]
    610       2 [kworker/119:0H-events_highpri]
    611       2 [cpuhp/120]
    612       2 [migration/120]
    613       2 [ksoftirqd/120]
    615       2 [kworker/120:0H-events_highpri]
    616       2 [cpuhp/121]
    617       2 [migration/121]
    618       2 [ksoftirqd/121]
    620       2 [kworker/121:0H-events_highpri]
    621       2 [cpuhp/122]
    622       2 [migration/122]
    623       2 [ksoftirqd/122]
    625       2 [kworker/122:0H-events_highpri]
    626       2 [cpuhp/123]
    627       2 [migration/123]
    628       2 [ksoftirqd/123]
    630       2 [kworker/123:0H-events_highpri]
    631       2 [cpuhp/124]
    632       2 [migration/124]
    633       2 [ksoftirqd/124]
    635       2 [kworker/124:0H-events_highpri]
    636       2 [cpuhp/125]
    637       2 [migration/125]
    638       2 [ksoftirqd/125]
    640       2 [kworker/125:0H-events_highpri]
    641       2 [cpuhp/126]
    642       2 [migration/126]
    643       2 [ksoftirqd/126]
    645       2 [kworker/126:0H-events_highpri]
    646       2 [cpuhp/127]
    647       2 [migration/127]
    648       2 [ksoftirqd/127]
    650       2 [kworker/127:0H-events_highpri]
    651       2 [cpuhp/128]
    652       2 [migration/128]
    653       2 [ksoftirqd/128]
    655       2 [kworker/128:0H-events_highpri]
    656       2 [cpuhp/129]
    657       2 [migration/129]
    658       2 [ksoftirqd/129]
    660       2 [kworker/129:0H-events_highpri]
    661       2 [cpuhp/130]
    662       2 [migration/130]
    663       2 [ksoftirqd/130]
    665       2 [kworker/130:0H-events_highpri]
    666       2 [cpuhp/131]
    667       2 [migration/131]
    668       2 [ksoftirqd/131]
    670       2 [kworker/131:0H-events_highpri]
    671       2 [cpuhp/132]
    672       2 [migration/132]
    673       2 [ksoftirqd/132]
    675       2 [kworker/132:0H-events_highpri]
    676       2 [cpuhp/133]
    677       2 [migration/133]
    678       2 [ksoftirqd/133]
    680       2 [kworker/133:0H-events_highpri]
    681       2 [cpuhp/134]
    682       2 [migration/134]
    683       2 [ksoftirqd/134]
    685       2 [kworker/134:0H-events_highpri]
    686       2 [cpuhp/135]
    687       2 [migration/135]
    688       2 [ksoftirqd/135]
    690       2 [kworker/135:0H-events_highpri]
    691       2 [cpuhp/136]
    692       2 [migration/136]
    693       2 [ksoftirqd/136]
    695       2 [kworker/136:0H-events_highpri]
    696       2 [cpuhp/137]
    697       2 [migration/137]
    698       2 [ksoftirqd/137]
    700       2 [kworker/137:0H-events_highpri]
    701       2 [cpuhp/138]
    702       2 [migration/138]
    703       2 [ksoftirqd/138]
    705       2 [kworker/138:0H-events_highpri]
    706       2 [cpuhp/139]
    707       2 [migration/139]
    708       2 [ksoftirqd/139]
    710       2 [kworker/139:0H-events_highpri]
    711       2 [cpuhp/140]
    712       2 [migration/140]
    713       2 [ksoftirqd/140]
    715       2 [kworker/140:0H-events_highpri]
    716       2 [cpuhp/141]
    717       2 [migration/141]
    718       2 [ksoftirqd/141]
    720       2 [kworker/141:0H-events_highpri]
    721       2 [cpuhp/142]
    722       2 [migration/142]
    723       2 [ksoftirqd/142]
    725       2 [kworker/142:0H-events_highpri]
    726       2 [cpuhp/143]
    727       2 [migration/143]
    728       2 [ksoftirqd/143]
    730       2 [kworker/143:0H-events_highpri]
    731       2 [cpuhp/144]
    732       2 [migration/144]
    733       2 [ksoftirqd/144]
    735       2 [kworker/144:0H-events_highpri]
    736       2 [cpuhp/145]
    737       2 [migration/145]
    738       2 [ksoftirqd/145]
    740       2 [kworker/145:0H-events_highpri]
    741       2 [cpuhp/146]
    742       2 [migration/146]
    743       2 [ksoftirqd/146]
    745       2 [kworker/146:0H-events_highpri]
    746       2 [cpuhp/147]
    747       2 [migration/147]
    748       2 [ksoftirqd/147]
    750       2 [kworker/147:0H-events_highpri]
    751       2 [cpuhp/148]
    752       2 [migration/148]
    753       2 [ksoftirqd/148]
    755       2 [kworker/148:0H-events_highpri]
    756       2 [cpuhp/149]
    757       2 [migration/149]
    758       2 [ksoftirqd/149]
    760       2 [kworker/149:0H-events_highpri]
    761       2 [cpuhp/150]
    762       2 [migration/150]
    763       2 [ksoftirqd/150]
    765       2 [kworker/150:0H-events_highpri]
    766       2 [cpuhp/151]
    767       2 [migration/151]
    768       2 [ksoftirqd/151]
    770       2 [kworker/151:0H-events_highpri]
    771       2 [cpuhp/152]
    772       2 [migration/152]
    773       2 [ksoftirqd/152]
    775       2 [kworker/152:0H-events_highpri]
    776       2 [cpuhp/153]
    777       2 [migration/153]
    778       2 [ksoftirqd/153]
    780       2 [kworker/153:0H-events_highpri]
    781       2 [cpuhp/154]
    782       2 [migration/154]
    783       2 [ksoftirqd/154]
    785       2 [kworker/154:0H-events_highpri]
    786       2 [cpuhp/155]
    787       2 [migration/155]
    788       2 [ksoftirqd/155]
    790       2 [kworker/155:0H-events_highpri]
    791       2 [cpuhp/156]
    792       2 [migration/156]
    793       2 [ksoftirqd/156]
    795       2 [kworker/156:0H-events_highpri]
    796       2 [cpuhp/157]
    797       2 [migration/157]
    798       2 [ksoftirqd/157]
    800       2 [kworker/157:0H-events_highpri]
    801       2 [cpuhp/158]
    802       2 [migration/158]
    803       2 [ksoftirqd/158]
    805       2 [kworker/158:0H-events_highpri]
    806       2 [cpuhp/159]
    807       2 [migration/159]
    808       2 [ksoftirqd/159]
    810       2 [kworker/159:0H-events_highpri]
    811       2 [cpuhp/160]
    812       2 [migration/160]
    813       2 [ksoftirqd/160]
    815       2 [kworker/160:0H-events_highpri]
    816       2 [cpuhp/161]
    817       2 [migration/161]
    818       2 [ksoftirqd/161]
    820       2 [kworker/161:0H-events_highpri]
    821       2 [cpuhp/162]
    822       2 [migration/162]
    823       2 [ksoftirqd/162]
    825       2 [kworker/162:0H-events_highpri]
    826       2 [cpuhp/163]
    827       2 [migration/163]
    828       2 [ksoftirqd/163]
    830       2 [kworker/163:0H-events_highpri]
    831       2 [cpuhp/164]
    832       2 [migration/164]
    833       2 [ksoftirqd/164]
    835       2 [kworker/164:0H-events_highpri]
    836       2 [cpuhp/165]
    837       2 [migration/165]
    838       2 [ksoftirqd/165]
    840       2 [kworker/165:0H-events_highpri]
    841       2 [cpuhp/166]
    842       2 [migration/166]
    843       2 [ksoftirqd/166]
    845       2 [kworker/166:0H-events_highpri]
    846       2 [cpuhp/167]
    847       2 [migration/167]
    848       2 [ksoftirqd/167]
    850       2 [kworker/167:0H-events_highpri]
    851       2 [cpuhp/168]
    852       2 [migration/168]
    853       2 [ksoftirqd/168]
    855       2 [kworker/168:0H-events_highpri]
    856       2 [cpuhp/169]
    857       2 [migration/169]
    858       2 [ksoftirqd/169]
    860       2 [kworker/169:0H-events_highpri]
    861       2 [cpuhp/170]
    862       2 [migration/170]
    863       2 [ksoftirqd/170]
    865       2 [kworker/170:0H-events_highpri]
    866       2 [cpuhp/171]
    867       2 [migration/171]
    868       2 [ksoftirqd/171]
    870       2 [kworker/171:0H-events_highpri]
    871       2 [cpuhp/172]
    872       2 [migration/172]
    873       2 [ksoftirqd/172]
    875       2 [kworker/172:0H-events_highpri]
    876       2 [cpuhp/173]
    877       2 [migration/173]
    878       2 [ksoftirqd/173]
    880       2 [kworker/173:0H-events_highpri]
    881       2 [cpuhp/174]
    882       2 [migration/174]
    883       2 [ksoftirqd/174]
    885       2 [kworker/174:0H-events_highpri]
    886       2 [cpuhp/175]
    887       2 [migration/175]
    888       2 [ksoftirqd/175]
    890       2 [kworker/175:0H-events_highpri]
    891       2 [cpuhp/176]
    892       2 [migration/176]
    893       2 [ksoftirqd/176]
    895       2 [kworker/176:0H-events_highpri]
    896       2 [cpuhp/177]
    897       2 [migration/177]
    898       2 [ksoftirqd/177]
    900       2 [kworker/177:0H-events_highpri]
    901       2 [cpuhp/178]
    902       2 [migration/178]
    903       2 [ksoftirqd/178]
    905       2 [kworker/178:0H-events_highpri]
    906       2 [cpuhp/179]
    907       2 [migration/179]
    908       2 [ksoftirqd/179]
    910       2 [kworker/179:0H-events_highpri]
    911       2 [kdevtmpfs]
    912       2 [netns]
    913       2 [kauditd]
    917       2 [khungtaskd]
    918       2 [oom_reaper]
    919       2 [writeback]
    920       2 [kcompactd0]
    921       2 [kcompactd1]
    922       2 [ksmd]
    923       2 [khugepaged]
    945       2 [kintegrityd]
    946       2 [kblockd]
    947       2 [blkcg_punt_bio]
    948       2 [devfreq_wq]
    949       2 [watchdogd]
    954       2 [kswapd0]
    955       2 [kswapd1]
    956       2 [kthrotld]
    957       2 [ipv6_addrconf]
    967       2 [kstrp]
   1084       2 [nvme-wq]
   1086       2 [nvme-reset-wq]
   1088       2 [nvme-delete-wq]
   1093       2 [ata_sff]
   1103       2 [scsi_eh_0]
   1104       2 [scsi_tmf_0]
   1105       2 [scsi_eh_1]
   1106       2 [scsi_tmf_1]
   1274       2 [scsi_eh_2]
   1275       2 [scsi_tmf_2]
   1276       2 [scsi_eh_3]
   1277       2 [scsi_tmf_3]
   1278       2 [scsi_eh_4]
   1279       2 [scsi_tmf_4]
   1280       2 [mlx5_health0000]
   1281       2 [mlx5_page_alloc]
   1282       2 [mlx5_cmd_0000:0]
   1283       2 [scsi_eh_5]
   1284       2 [scsi_tmf_5]
   1285       2 [mlx5_events]
   1286       2 [mlx5_fw_reset_e]
   1287       2 [mlx5_fc]
   1288       2 [mlx5_hv_vhca]
   1290       2 [mlx5e]
   1291       2 [mlx5e_arfs]
   1320       2 [kworker/6:1H-kblockd]
   1321       2 [kworker/0:1H-kblockd]
   1322       2 [kworker/10:1H-kblockd]
   1330       2 [kworker/19:1H-xfs-log/nvme2n1]
   1788       2 [kworker/8:1H-kblockd]
   1789       2 [kworker/43:1H-kblockd]
   1794       2 [jbd2/vda2-8]
   1795       2 [ext4-rsv-conver]
   1824       2 [kworker/45:1H-kblockd]
   1842       1 /lib/systemd/systemd-journald
   1864       2 [rpciod]
   1865       2 [kworker/u363:0]
   1868       2 [xprtiod]
   1892       2 [ib-comp-wq]
   1893       2 [ib-comp-unb-wq]
   1894       2 [ib_mcast]
   1895       2 [ib_nl_sa_wq]
   1898       2 [mlx5_ib_sigerr_]
   1899       2 [ib_mad1]
   1900       2 [to_fifo]
   1901       2 [mkey_cache]
   1969       1 /usr/sbin/rdma-ndd --systemd
   3316       2 [cryptd]
   4619       2 [kworker/156:0-mm_percpu_wq]
   4730       2 [edac-poller]
   4746       2 [nfit]
   4778       1 /sbin/rpcbind -f -w
   4865       2 [kworker/18:1H-kblockd]
   4878       2 [kworker/1:1H-kblockd]
   4879       2 [kworker/5:1H-xfs-log/nvme2n1]
   4880       2 [kworker/2:1H-kblockd]
   4881       2 [kworker/7:1H-xfs-log/nvme2n1]
   4882       2 [kworker/3:1H-xfs-log/nvme2n1]
   4883       2 [kworker/4:1H-kblockd]
   4884       2 [kworker/9:1H-xfs-log/nvme2n1]
   4885       2 [kworker/11:1H-xfs-log/nvme3n1]
   4886       2 [kworker/12:1H-kblockd]
   4887       2 [kworker/13:1H-kblockd]
   4888       2 [kworker/14:1H-kblockd]
   4889       2 [kworker/15:1H-xfs-log/nvme2n1]
   4890       2 [kworker/16:1H-kblockd]
   4891       2 [kworker/17:1H-xfs-log/nvme2n1]
   4892       2 [kworker/20:1H-kblockd]
   4893       2 [kworker/21:1H-kblockd]
   4894       2 [kworker/22:1H-kblockd]
   4895       2 [kworker/23:1H-kblockd]
   4896       2 [kworker/24:1H-kblockd]
   4897       2 [kworker/25:1H-kblockd]
   4898       2 [kworker/28:1H-kblockd]
   4899       2 [kworker/26:1H-kblockd]
   4900       2 [kworker/27:1H-kblockd]
   4901       2 [kworker/29:1H-kblockd]
   4902       2 [kworker/31:1H-kblockd]
   4903       2 [kworker/32:1H-kblockd]
   4904       2 [kworker/33:1H-kblockd]
   4905       2 [kworker/34:1H-kblockd]
   4906       2 [kworker/35:1H-kblockd]
   4907       2 [kworker/36:1H-kblockd]
   4908       2 [kworker/37:1H-xfs-log/nvme2n1]
